data,variable,ae,np
2021-03-01,prec,0,2.99
2021-03-02,tmed,24.2625,25.98
2021-03-02,ur,76,71.94
2021-03-02,tmin,20.5,21.28
2021-03-02,tmax,30.2,32.23
2021-03-02,prec,21.4,2.45
2021-03-03,tmed,23.1625,23.8
2021-03-03,ur,84.0416666666667,85.62
2021-03-03,tmin,20.9,21.3
2021-03-03,tmax,28.1,27.25
2021-03-03,prec,3.2,4.83
2021-03-04,tmed,21.9,22.96
2021-03-04,ur,87.8333333333333,87.88
2021-03-04,tmin,19.9,19.85
2021-03-04,tmax,25.6,28.41
2021-03-04,prec,1,24.55
2021-03-05,tmed,21.9291666666667,22.44
2021-03-05,ur,85.9583333333333,82.44
2021-03-05,tmin,19.2,18.97
2021-03-05,tmax,26.2,26.95
2021-03-05,prec,15,1.75
2021-03-06,tmed,22.0083333333333,22.69
2021-03-06,ur,79.2083333333333,74.69
2021-03-06,tmin,18.3,17.9
2021-03-06,tmax,27.1,29.26
2021-03-06,prec,0,0.13
2021-03-07,tmed,21.7739130434783,22.46
2021-03-07,ur,72.8260869565217,68.19
2021-03-07,tmin,16.4,15.18
2021-03-07,tmax,28.1,30.08
2021-03-07,prec,0,0.02
2021-03-08,tmed,22.3333333333333,23.23
2021-03-08,ur,70.4583333333333,64.56
2021-03-08,tmin,16.5,15.89
2021-03-08,tmax,28.5,31.65
2021-03-08,prec,0,0.01
2021-03-09,tmed,21.7458333333333,22.95
2021-03-09,ur,72.25,65.25
2021-03-09,tmin,17.4,16.19
2021-03-09,tmax,27.5,30.48
2021-03-09,prec,0,0
2021-03-10,tmed,20.675,21.5
2021-03-10,ur,67.6666666666667,61.19
2021-03-10,tmin,15.8,14.39
2021-03-10,tmax,26,29.74
2021-03-10,prec,0,0
2021-03-11,tmed,20.5625,21.94
2021-03-11,ur,62.2083333333333,58.12
2021-03-11,tmin,15.5,13.76
2021-03-11,tmax,27.8,31.22
2021-03-11,prec,0,0.01
2021-03-12,tmed,21.6375,23.19
2021-03-12,ur,55.7916666666667,53
2021-03-12,tmin,16.1,14.08
2021-03-12,tmax,29.8,33.16
2021-03-12,prec,0,0.04
2021-03-13,tmed,23.1458333333333,24.33
2021-03-13,ur,59.7916666666667,51.12
2021-03-13,tmin,17.2,14.96
2021-03-13,tmax,31.1,34.84
2021-03-13,prec,0,0.02
2021-03-14,tmed,24.4125,25.52
2021-03-14,ur,60.25,52.19
2021-03-14,tmin,19.2,16.67
2021-03-14,tmax,32.1,35.84
2021-03-14,prec,0,0.09
2021-03-15,tmed,25.1791666666667,26
2021-03-15,ur,61.5,58.69
2021-03-15,tmin,19.3,18.31
2021-03-15,tmax,32.5,35.62
2021-03-15,prec,0,0.18
2021-03-16,tmed,26.3541666666667,27.92
2021-03-16,ur,62.125,61.25
2021-03-16,tmin,21.6,19.05
2021-03-16,tmax,33.4,37.19
2021-03-16,prec,0,8.27
2021-03-17,tmed,22.9208333333333,24.02
2021-03-17,ur,82.7083333333333,80
2021-03-17,tmin,20.3,19.08
2021-03-17,tmax,25.9,29.72
2021-03-17,prec,22.2,4.96
2021-03-18,tmed,21.0916666666667,22.39
2021-03-18,ur,75.7916666666667,68.5
2021-03-18,tmin,16.7,16.26
2021-03-18,tmax,26.9,29.76
2021-03-18,prec,0,0.02
2021-03-19,tmed,22.2958333333333,25.16
2021-03-19,ur,74.375,63.5
2021-03-19,tmin,16.3,16.35
2021-03-19,tmax,29.9,34.39
2021-03-19,prec,0,0.06
2021-03-20,tmed,25.3458333333333,26.84
2021-03-20,ur,66.1666666666667,65.75
2021-03-20,tmin,21.2,20.34
2021-03-20,tmax,30.9,32.84
2021-03-20,prec,1,0.81
2021-03-21,tmed,23.1291666666667,25.14
2021-03-21,ur,86.2916666666667,79.94
2021-03-21,tmin,21.1,21.52
2021-03-21,tmax,25.6,30.77
2021-03-21,prec,15.6,2.65
2021-03-22,tmed,23.5458333333333,25.84
2021-03-22,ur,82.125,74.19
2021-03-22,tmin,20.3,20.84
2021-03-22,tmax,29.5,32.64
2021-03-22,prec,0,0.94
2021-03-23,tmed,24.0666666666667,24.76
2021-03-23,ur,81.5,79.81
2021-03-23,tmin,20.4,21.08
2021-03-23,tmax,28.8,29.96
2021-03-23,prec,0,9.33
2021-03-24,tmed,24.0625,25.33
2021-03-24,ur,79.9166666666667,77.06
2021-03-24,tmin,20.6,20.21
2021-03-24,tmax,30.9,31.64
